time,ozone,ps,pwv
2017-06-11 15:00:00,269.864807129,78649.921875,3.885679245
2017-06-11 16:00:00,268.637817383,78634.7734375,4.01655769348
2017-06-11 17:00:00,268.076629639,78600.96875,4.19247102737
2017-06-11 18:00:00,267.890899658,78569.140625,4.40719223022
2017-06-11 19:00:00,268.096588135,78556.9453125,4.62224674225
2017-06-11 20:00:00,268.182739258,78554.2734375,4.7377281189
2017-06-11 21:00:00,268.157745361,78565.1015625,4.66045427322
2017-06-11 22:00:00,268.764526367,78577.6796875,4.41306734085
2017-06-11 23:00:00,267.73739624,78601.234375,4.11043405533
2017-06-12 00:00:00,266.394958496,78626.671875,3.88524889946
2017-06-12 01:00:00,264.975219727,78646.0078125,3.78870558739
2017-06-12 02:00:00,264.281524658,78644.8515625,3.6850605011
2017-06-12 03:00:00,264.369140625,78635.3671875,3.60312056541
2017-06-12 04:00:00,264.566741943,78619.4609375,3.54853773117
2017-06-12 05:00:00,264.413269043,78595.2109375,3.48706459999
2017-06-12 06:00:00,264.121398926,78570.1328125,3.4709713459
2017-06-12 07:00:00,263.956390381,78543.15625,3.545794487
2017-06-12 08:00:00,263.551269531,78521.90625,3.64887332916
2017-06-12 09:00:00,262.887176514,78496.0078125,3.71312975883
2017-06-12 10:00:00,263.078491211,78480.125,3.85927629471
2017-06-12 11:00:00,264.536315918,78500.75,4.09069681168
2017-06-12 12:00:00,266.209381104,78547.546875,4.39655637741
2017-06-12 13:00:00,267.914398193,78567.765625,4.51855564117
2017-06-12 14:00:00,268.790374756,78564.59375,4.49840450287
2017-06-12 15:00:00,269.140014648,78548.1484375,4.58017158508
2017-06-12 16:00:00,268.750183105,78523.390625,4.72987318039
2017-06-12 17:00:00,267.838684082,78481.953125,4.95242261887
2017-06-12 18:00:00,268.412719727,78441.515625,5.15008831024
2017-06-12 19:00:00,269.610626221,78433.671875,5.40847301483
2017-06-12 20:00:00,270.005310059,78450.625,5.57111215591
2017-06-12 21:00:00,270.657867432,78455.578125,5.246758461
2017-06-12 22:00:00,271.967834473,78447.328125,4.81542634964
2017-06-12 23:00:00,272.920440674,78495.4453125,4.87705659866
2017-06-13 00:00:00,272.640197754,78534.7734375,4.83771467209
2017-06-13 01:00:00,272.132049561,78569.1484375,4.68908500671
2017-06-13 02:00:00,271.802764893,78600.5,4.4742102623
2017-06-13 03:00:00,270.169067383,78624.8359375,4.2283782959
2017-06-13 04:00:00,268.450073242,78638.3984375,4.07632541656
2017-06-13 05:00:00,267.078216553,78637.1640625,3.84755063057
2017-06-13 06:00:00,265.663635254,78628.0234375,3.53765964508
2017-06-13 07:00:00,265.406616211,78597.515625,3.22561836243
2017-06-13 08:00:00,264.301086426,78559.046875,2.82212305069
2017-06-13 09:00:00,263.542541504,78523.0,2.6054494381
2017-06-13 10:00:00,263.155334473,78517.7578125,2.68820858002
2017-06-13 11:00:00,262.657989502,78541.203125,2.68390154839
2017-06-13 12:00:00,261.272216797,78564.515625,2.70025062561
2017-06-13 13:00:00,260.058898926,78570.4375,2.7641017437
2017-06-13 14:00:00,259.123413086,78573.359375,2.89615321159
2017-06-13 15:00:00,259.346618652,78577.8515625,2.95837211609
2017-06-13 16:00:00,259.041503906,78567.28125,2.98132920265
2017-06-13 17:00:00,258.305389404,78494.453125,3.14099788666
2017-06-13 18:00:00,257.201171875,78441.5546875,3.50592184067
2017-06-13 19:00:00,256.452148438,78426.875,3.83775281906
2017-06-13 20:00:00,255.534576416,78436.828125,3.9401512146
2017-06-13 21:00:00,254.392272949,78461.7890625,3.81080102921
2017-06-13 22:00:00,254.454376221,78504.5,3.57988023758
2017-06-13 23:00:00,253.946655273,78544.9140625,3.16447734833
2017-06-14 00:00:00,253.40914917,78585.6328125,2.79398131371
2017-06-14 01:00:00,252.706298828,78598.8125,2.55139708519
2017-06-14 02:00:00,251.746459961,78580.6953125,2.47382998466
2017-06-14 03:00:00,250.908416748,78552.0,2.55060958862
2017-06-14 04:00:00,250.892669678,78525.296875,2.74951410294
2017-06-14 05:00:00,251.258178711,78486.9453125,3.025649786
2017-06-14 06:00:00,251.603912354,78451.8125,3.28331494331
2017-06-14 07:00:00,252.188140869,78423.484375,3.39551544189
2017-06-14 08:00:00,252.877227783,78393.59375,3.25969004631
2017-06-14 09:00:00,253.407623291,78385.421875,2.94904565811
2017-06-14 10:00:00,253.753234863,78395.0,2.96164631844
2017-06-14 11:00:00,253.840270996,78443.3515625,3.0630569458
2017-06-14 12:00:00,253.598937988,78492.03125,3.18395400047
2017-06-14 13:00:00,253.987640381,78518.234375,3.21493244171
2017-06-14 14:00:00,254.309631348,78560.4375,3.22730517387
2017-06-14 15:00:00,254.226989746,78591.0625,3.32368063927
2017-06-14 16:00:00,252.630310059,78583.265625,3.53141784668
2017-06-14 17:00:00,251.309509277,78565.1640625,3.86814045906
2017-06-14 18:00:00,249.744689941,78555.203125,4.11999368668
2017-06-14 19:00:00,248.256988525,78525.671875,4.14137554169
2017-06-14 20:00:00,246.791442871,78501.71875,4.03977680206
2017-06-14 21:00:00,245.898529053,78488.734375,3.79768586159
2017-06-14 22:00:00,246.7734375,78472.421875,3.39062452316
2017-06-14 23:00:00,247.241516113,78485.765625,2.97081136703
2017-06-15 00:00:00,247.740203857,78545.4609375,2.83402729034
2017-06-15 01:00:00,247.616699219,78592.875,2.78495454788
2017-06-15 02:00:00,247.640228271,78602.109375,2.68012356758
2017-06-15 03:00:00,247.66506958,78594.953125,2.53134655952
2017-06-15 04:00:00,247.356872559,78591.65625,2.49101638794
2017-06-15 05:00:00,247.008026123,78578.7421875,2.53178453445
2017-06-15 06:00:00,246.518615723,78551.53125,2.51012086868
2017-06-15 07:00:00,245.823150635,78496.4375,2.41044187546
2017-06-15 08:00:00,245.531280518,78454.3984375,2.33414077759
2017-06-15 09:00:00,245.564697266,78434.7890625,2.3027985096
2017-06-15 10:00:00,244.850799561,78444.109375,2.28606295586
2017-06-15 11:00:00,244.230529785,78484.8359375,2.33660507202
2017-06-15 12:00:00,242.861053467,78518.4453125,2.51714849472
2017-06-15 13:00:00,242.355560303,78538.8359375,2.80730962753
2017-06-15 14:00:00,242.184875488,78553.0703125,3.17765021324
2017-06-15 15:00:00,242.606994629,78550.5625,3.63383150101
2017-06-15 16:00:00,243.185668945,78522.359375,4.21019744873
2017-06-15 17:00:00,243.448272705,78483.359375,4.80990171432
2017-06-15 18:00:00,242.831726074,78461.7265625,5.35304880142
2017-06-15 19:00:00,242.044677734,78462.875,5.72828102112
2017-06-15 20:00:00,241.780853271,78470.765625,5.89065265656
2017-06-15 21:00:00,242.460388184,78475.71875,5.87917900085
2017-06-15 22:00:00,244.12789917,78466.359375,5.7465672493
2017-06-15 23:00:00,245.247070312,78461.609375,5.65685176849
2017-06-16 00:00:00,246.703857422,78451.296875,5.54744338989
2017-06-16 01:00:00,248.221405029,78436.84375,5.43787622452
2017-06-16 02:00:00,248.939147949,78415.96875,5.36933422089
2017-06-16 03:00:00,249.20892334,78392.921875,5.37502861023
2017-06-16 04:00:00,250.563110352,78400.328125,5.43939256668
2017-06-16 05:00:00,252.955871582,78406.4921875,5.3182759285
2017-06-16 06:00:00,254.327880859,78388.734375,5.06986999512
2017-06-16 07:00:00,256.247711182,78364.2890625,4.81757974625
2017-06-16 08:00:00,258.602325439,78356.765625,4.66303491592
2017-06-16 09:00:00,260.821899414,78348.890625,4.77808237076
2017-06-16 10:00:00,262.686706543,78347.8125,5.04365873337
